Year,Country,Happiness_Score,Happiness_Rank,GDP_per_capita,Healthy_life_expectancy,Freedom,Generosity,Perceptions_of_corruption
2015,Switzerland,7.587000000000001,1.0,1.3965100000000001,0.9414299999999999,0.66557,0.29678000000000004,0.41978000000000004
2015,Iceland,7.561,2.0,1.3023200000000001,0.94784,0.6287699999999999,0.4363,0.14145
2015,Denmark,7.527,3.0,1.32548,0.87464,0.6493800000000001,0.34139,0.48357
2015,Norway,7.522,4.0,1.459,0.88521,0.66973,0.34699,0.36503
2015,Canada,7.4270000000000005,5.0,1.32629,0.9056299999999999,0.63297,0.45811,0.32957
2015,Finland,7.406000000000001,6.0,1.29025,0.8891100000000001,0.64169,0.23351,0.41372
2015,Netherlands,7.377999999999999,7.0,1.32944,0.89284,0.6157600000000001,0.4761,0.31814000000000003
2015,Sweden,7.364,8.0,1.33171,0.9108700000000001,0.6598,0.36262,0.43843999999999994
2015,New Zealand,7.2860000000000005,9.0,1.2501799999999998,0.9083700000000001,0.6393800000000001,0.47501000000000004,0.42922
2015,Australia,7.284,10.0,1.33358,0.93156,0.6512399999999999,0.43562,0.35636999999999996
2015,Israel,7.278,11.0,1.2285700000000002,0.9138700000000001,0.41318999999999995,0.33171999999999996,0.07785
2015,Costa Rica,7.226,12.0,0.95578,0.8602700000000001,0.63376,0.25497,0.10583
2015,Austria,7.2,13.0,1.33723,0.8904200000000001,0.62433,0.33088,0.18675999999999998
2015,Mexico,7.187,14.0,1.02054,0.8144399999999999,0.48181,0.14074,0.21311999999999998
2015,United States,7.119,15.0,1.3945100000000001,0.86179,0.54604,0.40105,0.1589
2015,Brazil,6.983,16.0,0.98124,0.69702,0.49049,0.14574,0.17521
2015,Luxembourg,6.946000000000001,17.0,1.5639100000000001,0.91894,0.61583,0.28034000000000003,0.37798000000000004
2015,Ireland,6.94,18.0,1.33596,0.89533,0.6177699999999999,0.45901000000000003,0.28703
2015,Belgium,6.937,19.0,1.30782,0.8966700000000001,0.5845,0.2225,0.2254
2015,United Arab Emirates,6.901,20.0,1.42727,0.80925,0.64157,0.26428,0.38583
2015,United Kingdom,6.867000000000001,21.0,1.26637,0.90943,0.59625,0.51912,0.32066999999999996
