Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,"680,369",225808605,NorthAmerica,331891557,17267124,121665,313351,2259,10099791,90771,6853982,28303,52026,944,Americas
India,"113,004",156646280,Asia,1386197276,9954769,21861,144353,223,9481360,25567,329056,8944,7181,104,South-EastAsia
Brazil,"120,515",25700000,SouthAmerica,213250674,6985555,11297,183053,199,6067862,,734640,8318,32757,858,Americas
Russia,"574,577",83867186,Europe,145963245,2734454,26509,48564,596,2176100,26490,509790,2300,18734,333,Europe
France,"449,472",29368410,Europe,65339853,2409062,17615,59361,289,180311,1224,2169390,2850,36870,908,Europe
Turkey,"255,986",21695592,Asia,84752976,1928165,29718,17121,240,1691113,29922,219931,5960,22750,202,Europe
UK,"717,277",48810250,Europe,68049406,1913277,25161,65520,612,,,,1326,28116,963,Europe
Italy,"408,522",24683230,Europe,60420872,1888144,17572,66537,680,1175901,38485,645706,2926,31250,1101,Europe
Spain,"532,870",24918644,Europe,46763108,1782566,11078,48596,195,,,,1964,38119,1039,Europe
Argentina,"95,599",4338785,SouthAmerica,45385180,1510203,,41204,,1344300,,124699,3475,33275,908,Americas
Colombia,"140,547",7186191,SouthAmerica,51130265,1444646,,39356,,1328430,,76860,2376,28254,770,Americas
Germany,"363,427",30494036,Europe,83906898,1407487,28969,24441,749,1025000,21700,358046,4836,16774,291,Europe
Mexico,"24,978",3235890,NorthAmerica,129550707,1267202,11228,115099,801,938089,10335,214014,3778,9782,888,Americas
Poland,"178,931",6768498,Europe,37827522,1159901,12454,23914,605,892650,12902,243337,1732,30663,632,Europe
Iran,"81,044",6846781,Asia,84482404,1131077,7603,52883,213,844430,11154,233764,5678,13388,626,EasternMediterranean
Peru,"159,258",5284292,SouthAmerica,33180757,987675,,36817,,922314,,28544,1078,29766,1110,Americas
Ukraine,"117,522",5125389,Europe,43612312,919704,10622,15744,264,535417,12549,368543,177,21088,361,Europe
South Africa,"100,063",5968692,Africa,59649189,883687,10008,23827,166,774585,9608,85275,546,14815,399,Africa
Netherlands,"306,279",5253381,Europe,17152286,639746,11169,10246,78,,,,537,37298,597,Europe
Indonesia,"23,819",6546376,Asia,274842971,636154,6725,19248,137,521984,5328,94922,,2315,70,South-EastAsia
Belgium,"549,811",6384817,Europe,11612751,611422,2211,18178,124,41973,273,551271,593,52651,1565,Europe
Czechia,"317,729",3405458,Europe,10718109,594148,7889,9882,54,516786,259,67480,585,55434,922,Europe
Iraq,"98,601",4006138,Asia,40629866,578916,1553,12636,22,513405,1766,52875,197,14249,311,EasternMediterranean
Chile,"306,264",5877562,SouthAmerica,19191179,576731,1402,15959,10,549852,1662,10920,638,30052,832,Americas
Romania,"234,948",4505916,Europe,19178341,571749,5991,13862,164,469499,4449,88388,1267,29812,723,Europe
Bangladesh,"18,270",3022537,Asia,165438217,495841,1632,7156,27,429351,2622,59334,,2997,43,South-EastAsia
Canada,"334,939",12691950,NorthAmerica,37893336,479720,4506,13759,100,389698,3723,76263,596,12660,363,Americas
Philippines,"57,342",6321708,Asia,110244803,452988,1156,8833,21,419282,425,24873,708,4109,80,WesternPacific
Pakistan,"27,540",6136799,Asia,222833568,445977,2731,9010,105,388598,2265,48369,2510,2001,40,EasternMediterranean
Morocco,"114,193",4237689,Africa,37109906,406970,3351,6749,38,366835,3924,33386,1087,10967,182,EasternMediterranean
Switzerland,"365,622",3174906,Europe,8683573,394453,5625,6374,108,311500,,76579,464,45425,734,Europe
Israel,"741,115",6816470,Asia,9197590,364320,3690,3031,17,341034,2250,20255,393,39610,330,Europe
Saudi Arabia,"299,223",10490805,Asia,35060108,360335,180,6080,11,351192,199,3063,463,10278,173,EasternMediterranean
Portugal,"497,263",5063625,Europe,10182998,358296,4720,5815,82,283719,3681,68762,486,35186,571,Europe
Sweden,"367,145",3718476,Europe,10128096,348585,,7802,26,,,,270,34418,770,Europe
Austria,"384,815",3474856,Europe,9029935,330343,2664,4764,116,291042,3292,34537,548,36583,528,Europe
Hungary,"249,369",2406171,Europe,9649042,288567,2804,7381,144,83940,825,197246,574,29906,765,Europe
Serbia,"238,952",2083929,Europe,8721127,282601,5353,2482,49,31536,,248583,333,32404,285,Europe
Jordan,"282,368",2894090,Asia,10249364,267585,2561,3465,28,230274,4029,33846,334,26107,338,EasternMediterranean
Nepal,"62,951",1849136,Asia,29374299,250916,736,1743,13,238569,,10604,,8542,59,South-EastAsia
Ecuador,"39,402",699960,SouthAmerica,17764770,203461,1105,13915,19,177951,,11595,355,11453,783,Americas
Georgia,"437,971",1745595,Asia,3985638,198387,3487,1922,39,167281,2495,29184,,49775,482,Europe
Panama,"249,929",1086093,NorthAmerica,4345610,196987,,3411,,164855,,28721,197,45330,785,Americas
UAE,"1,892,153",18817161,Asia,9944841,188545,1278,626,4,165749,726,22170,,18959,63,EasternMediterranean
Azerbaijan,"196,306",1998577,Asia,10180920,187336,4077,2050,43,122859,3854,62427,,18401,201,Europe
Bulgaria,"155,612",1077493,Europe,6924240,184287,,6005,,87935,,90347,582,26615,867,Europe
Japan,"32,887",4153589,Asia,126297889,184042,2172,2688,45,155547,2028,25807,618,1457,21,WesternPacific
Croatia,"221,864",908215,Europe,4093563,183045,3327,2870,92,157773,2694,22402,294,44715,701,Europe
Belarus,"387,322",3659372,Europe,9447892,165897,1838,1291,9,143373,1930,21233,,17559,137,Europe
Dominican Republic,"73,551",801531,NorthAmerica,10897555,156585,788,2372,5,121988,665,32225,235,14369,218,Americas
Costa Rica,"86,070",440279,NorthAmerica,5115363,154096,,1956,,121031,,31109,243,30124,382,Americas
Lebanon,"267,203",1820011,Asia,6811333,150933,2056,1234,11,104207,,45492,409,22159,181,EasternMediterranean
Armenia,"187,103",554909,Asia,2965788,150218,1098,2556,27,128694,1242,18968,,50650,862,Europe
Bolivia,"32,394",380478,SouthAmerica,11745461,147716,371,9026,2,126720,281,11970,71,12576,768,Americas
Kuwait,"278,400",1196920,Asia,4299275,146971,261,913,,142909,310,3149,54,34185,212,EasternMediterranean
Kazakhstan,"258,051",4871752,Asia,18879035,143735,749,2147,,128218,1122,13370,221,7613,114,Europe
Qatar,"420,271",1180038,Asia,2807805,141417,145,242,1,139042,123,2133,19,50366,86,EasternMediterranean
Slovakia,"228,275",1246580,Europe,5460858,139088,3565,1309,58,101584,1281,36195,310,25470,240,Europe
Guatemala,"32,741",591483,NorthAmerica,18065685,130828,746,4510,34,119288,495,7030,5,7242,250,Americas
Moldova,"127,840",515151,Europe,4029641,130329,1673,2650,25,112677,1363,15002,292,32343,658,Europe
Greece,"289,001",3005479,Europe,10399540,127557,1185,3870,85,9989,,113698,552,12266,372,Europe
Oman,"110,641",571472,Asia,5165080,126835,116,1480,5,118736,231,6619,49,24556,287,EasternMediterranean
Egypt,"9,689",1000000,Africa,103208404,122609,,6966,,105450,,10193,90,1188,67,EasternMediterranean
Denmark,"1,528,547",8867957,Europe,5801561,119779,3692,975,14,83801,1702,35003,68,20646,168,Europe
Ethiopia,"14,800",1720417,Africa,116246058,118006,464,1818,5,97969,1662,18219,305,1015,16,Africa
Palestine,"153,616",791873,Asia,5154897,115606,2197,1048,25,90952,1985,23606,137,22426,203,EasternMediterranean
Honduras,"29,013",289442,NorthAmerica,9976130,114943,301,3001,12,52392,704,59550,118,11522,301,Americas
Tunisia,"43,776",519845,Africa,11875036,113241,,3956,,86801,,22484,287,9536,333,EasternMediterranean
Myanmar,"27,555",1503849,Asia,54576729,111900,1233,2346,27,90453,1035,19101,,2050,43,South-EastAsia
Venezuela,"82,663",2347543,SouthAmerica,28398787,108480,,965,,103271,,4244,51,3820,34,Americas
Bosnia and Herzegovina,"144,679",473300,Europe,3271385,103232,902,3511,54,68245,596,31476,,31556,1073,Europe
Slovenia,"291,634",606328,Europe,2079069,100401,2119,2190,39,77453,2436,20758,210,48291,1053,Europe
Lithuania,"535,526",1448398,Europe,2704629,99869,3418,907,44,43379,1714,55583,184,36925,335,Europe
Paraguay,"70,798",507794,SouthAmerica,7172444,95353,,1991,,67953,,25409,172,13294,278,Americas
Algeria,,,Africa,44209866,93065,,2623,,61307,,29135,46,2105,59,Africa
Kenya,"18,128",984435,Africa,54306077,92853,394,1614,10,74403,424,16836,46,1710,30,Africa
Libya,"71,651",495379,Africa,6913802,92577,560,1324,5,62720,576,28533,,13390,192,EasternMediterranean
Bahrain,"1,281,800",2214897,Asia,1727959,89444,,349,1,87490,,1605,9,51763,202,EasternMediterranean
Malaysia,"92,442",3009421,Asia,32554794,87913,1295,429,7,72733,1052,14751,113,2700,13,WesternPacific
Kyrgyzstan,"84,363",554519,Asia,6573040,78151,241,1317,1,71270,403,5564,94,11890,200,Europe
Ireland,"427,673",2122513,Europe,4962933,77197,421,2140,6,23364,,51693,30,15555,431,Europe
North Macedonia,"178,268",371391,Europe,2083335,75597,865,2194,25,51493,641,21910,138,36287,1053,Europe
Uzbekistan,"40,900",1377915,Asia,33689711,75396,155,612,,72661,139,2123,174,2238,18,Europe
Nigeria,"4,069",848194,Africa,208440528,74132,,1200,,66494,,6438,10,356,6,Africa
Singapore,"856,880",5031065,Asia,5871378,58353,12,29,,58238,5,86,,9939,5,WesternPacific
Ghana,"20,070",629522,Africa,31366106,53386,116,327,,52048,83,1011,13,1702,10,Africa
Albania,"78,138",224753,Europe,2876350,50637,637,1040,12,26381,505,23216,39,17605,362,Europe
Afghanistan,"4,443",174711,Asia,39324007,49970,267,2017,16,38648,148,9305,93,1271,51,EasternMediterranean
S. Korea,"68,021",3488769,Asia,51289473,45442,1078,612,12,32947,388,11883,226,886,12,WesternPacific
Luxembourg,"2,450,163",1545073,Europe,630600,42845,595,421,3,33920,434,8504,48,67943,668,Europe
Montenegro,"252,349",158501,Europe,628103,42563,415,610,13,32550,453,9403,68,67764,971,Europe
El Salvador,"90,680",589528,NorthAmerica,6501203,42397,265,1219,7,38481,221,2697,81,6521,188,Americas
Norway,"459,636",2500706,Europe,5440623,42077,225,402,7,34782,,6893,31,7734,74,Europe
Sri Lanka,"47,435",1017682,Asia,21454423,34732,611,157,3,25652,785,8923,,1619,7,South-EastAsia
Finland,"406,102",2251705,Europe,5544676,31870,411,472,6,22500,2500,8898,34,5748,85,Europe
Uganda,"14,928",692455,Africa,46387385,28733,565,225,,10070,65,18438,,619,5,Africa
Australia,"407,648",10449957,Australia/Oceania,25634726,28056,8,908,,25690,1,1458,1,1094,35,WesternPacific
Latvia,"400,120",750834,Europe,1876523,27495,1023,382,25,18153,676,8960,41,14652,204,Europe
Cameroon,"5,551",149000,Africa,26843421,25359,,445,,23851,,1063,50,945,17,Africa
Sudan,,,Africa,44310953,22082,218,1384,12,12753,86,7945,,498,31,EasternMediterranean
Ivory Coast,"8,903",237469,Africa,26672451,21775,,133,,21364,29,278,,816,5,Africa
Estonia,"421,348",559105,Europe,1326945,19271,590,160,3,12117,448,6994,24,14523,121,Europe
Zambia,"26,787",498639,Africa,18615121,18456,28,369,1,17635,148,452,,991,20,Africa
Madagascar,"3,447",96565,Africa,28011337,17587,,259,,16992,,336,16,628,9,Africa
Senegal,"14,659",248364,Africa,16942349,17336,120,352,2,16349,106,635,23,1023,21,Africa
Namibia,"70,468",180521,Africa,2561756,17276,363,164,,15196,215,1916,26,6744,64,Africa
Mozambique,"7,950",251609,Africa,31648598,17143,101,145,1,15241,124,1757,,542,5,Africa
Angola,"5,139",171247,Africa,33323947,16362,,372,,8990,,7000,12,491,11,Africa
French Polynesia,"93,573",26355,Australia/Oceania,281652,15870,,97,,4842,,10931,23,56346,344,
Cyprus,"554,007",671112,Asia,1211379,15789,,84,,2057,,13648,16,13034,69,Europe
DRC,,,Africa,90781145,14930,333,364,6,12859,86,1707,,164,4,Africa
Guinea,"6,471",86012,Africa,13292868,13474,17,80,,12727,46,667,24,1014,6,Africa
Maldives,"508,285",276944,Asia,544860,13402,10,48,,12786,26,568,12,24597,88,South-EastAsia
